model,prompt_head,entropy,load_cv,load_entropy,oscillation,settling_time,state
Vanilla,Solve the Fibonacci sequence using dynam,0.6729140281677246,0.0,0.0,0.0,0.0,equilibrium
Vanilla,"The derivative of beauty, mathematically",1.5134098052978515,0.0,0.0,0.0,0.0,equilibrium
Vanilla,Write a Python function that captures th,1.6112579345703124,0.0,0.0,0.0,0.0,equilibrium
Vanilla,If consciousness were a recursive algori,2.1439605712890626,0.0,0.0,0.0,0.0,equilibrium
Vanilla,소수(素數)란 무엇인가. 그것은 고독처럼 오직 자기 자신으로만 나누어지는,0.46503970623016355,0.0,0.0,0.0,0.0,equilibrium
Nomadic_Blind,Solve the Fibonacci sequence using dynam,0.11736109565389378,0.0,-1.000000082690371e-10,0.0,40.0,equilibrium
Nomadic_Blind,"The derivative of beauty, mathematically",0.49594973678262355,0.5911691539749337,1.6300005585616535,0.13333333333333333,1.3636363636363635,hybrid
Nomadic_Blind,Write a Python function that captures th,0.577529776096344,1.3152946433362374,1.3661588468692019,0.1111111111111111,1.1818181818181819,equilibrium
Nomadic_Blind,If consciousness were a recursive algori,0.1688665242136795,0.8154753214334569,0.99958190639092,0.18421052631578946,1.625,equilibrium
Nomadic_Blind,소수(素數)란 무엇인가. 그것은 고독처럼 오직 자기 자신으로만 나누어지는,0.1372169077018043,1.558845726656105,0.3487803845180286,0.0,5.5,equilibrium
Nomadic_Full,Solve the Fibonacci sequence using dynam,0.36978440671227875,0.6274950198221197,1.3871296440792826,0.0,4.375,equilibrium
Nomadic_Full,"The derivative of beauty, mathematically",1.2453404426574708,0.69821200206626,1.6627320366972287,0.21052631578947367,1.3103448275862069,hybrid
Nomadic_Full,Write a Python function that captures th,0.5852911180816591,1.009331461783151,1.1586133665000609,0.02631578947368421,3.8,equilibrium
Nomadic_Full,If consciousness were a recursive algori,0.6488394379615784,0.9778803606581623,1.1560981091073244,0.13157894736842105,2.2941176470588234,equilibrium
Nomadic_Full,소수(素數)란 무엇인가. 그것은 고독처럼 오직 자기 자신으로만 나누어지는,0.7012504667043686,0.8602325265752278,1.4179492257742954,0.15789473684210525,1.625,equilibrium
MoD,Solve the Fibonacci sequence using dynam,0.4706233859062195,0.9171968163234172,0.6436058876666704,0.13157894736842105,3.25,equilibrium
MoD,"The derivative of beauty, mathematically",1.0570185044232536,0.6211385905905724,0.8594494474843308,0.15625,2.0625,equilibrium
MoD,Write a Python function that captures th,0.510276211751625,0.5279678020089743,0.9363569124838214,0.42105263157894735,1.3928571428571428,equilibrium
MoD,If consciousness were a recursive algori,1.03906307220459,0.6041522986344171,0.8556886669556694,0.10526315789473684,2.0526315789473686,equilibrium
MoD,소수(素數)란 무엇인가. 그것은 고독처럼 오직 자기 자신으로만 나누어지는,0.3051295168879733,1.2036403116307992,0.38131648755332903,0.02631578947368421,9.75,equilibrium
ECR,Solve the Fibonacci sequence using dynam,0.9840644836425781,1.2419742345579778,1.6046217347441671,0.07894736842105263,2.0,hybrid
ECR,"The derivative of beauty, mathematically",2.0836902618408204,0.642261628772691,2.0847908826484565,0.10526315789473684,1.1875,hybrid
ECR,Write a Python function that captures th,1.249795150756836,0.9611191391208024,1.8609820032031796,0.13157894736842105,1.56,hybrid
ECR,If consciousness were a recursive algori,1.9664859256228886,0.9129376080805323,1.921980918195637,0.11428571428571428,1.2413793103448276,hybrid
ECR,소수(素數)란 무엇인가. 그것은 고독처럼 오직 자기 자신으로만 나누어지는,0.99210205078125,0.9695359712893586,1.7029038913995982,0.13157894736842105,1.4444444444444444,hybrid
Sigma_MoE,Solve the Fibonacci sequence using dynam,0.692413330078125,0.3535533904164971,1.320888342749322,0.16666666666666666,1.2,equilibrium
Sigma_MoE,"The derivative of beauty, mathematically",0.7916535377502442,0.604152298574002,1.767534104491808,0.10526315789473684,1.625,hybrid
Sigma_MoE,Write a Python function that captures th,1.046643201042624,0.7180326830250298,1.533590799718383,0.13333333333333333,1.875,hybrid
Sigma_MoE,If consciousness were a recursive algori,1.4311116536458333,0.5335936863415721,1.4524464229793397,0.3181818181818182,1.0952380952380953,equilibrium
Sigma_MoE,소수(素數)란 무엇인가. 그것은 고독처럼 오직 자기 자신으로만 나누어지는,0.8253863096237183,0.7245688371283298,2.0501335236204596,0.05263157894736842,1.21875,hybrid
BiLevel_MoE,Solve the Fibonacci sequence using dynam,0.4497565656900406,0.9918417211694803,0.6327150708697842,0.05263157894736842,3.9,equilibrium
BiLevel_MoE,"The derivative of beauty, mathematically",1.1184961438179015,0.49117206757287457,0.9656553695895361,0.07894736842105263,2.6,equilibrium
BiLevel_MoE,Write a Python function that captures th,0.7442282617092133,0.7044501401274347,0.8088161630683142,0.15789473684210525,2.1666666666666665,equilibrium
BiLevel_MoE,If consciousness were a recursive algori,0.2948191198054701,0.7656696414982525,0.7375081629249736,0.02631578947368421,2.7857142857142856,equilibrium
BiLevel_MoE,소수(素數)란 무엇인가. 그것은 고독처럼 오직 자기 자신으로만 나누어지는,0.760218620300293,0.7382411529563019,0.7909873501355755,0.13157894736842105,2.7857142857142856,equilibrium
RoutingFree_MoE,Solve the Fibonacci sequence using dynam,1.60150146484375,0.7158910529669475,2.1615475673870903,0.05263157894736842,1.1142857142857143,hybrid
RoutingFree_MoE,"The derivative of beauty, mathematically",2.101038360595703,0.771362430814951,2.1513961361412886,0.05263157894736842,1.0833333333333333,hybrid
RoutingFree_MoE,Write a Python function that captures th,2.8125,0.3464101612366473,1.3321790398101223,0.3333333333333333,1.0,equilibrium
RoutingFree_MoE,If consciousness were a recursive algori,2.6369485294117645,0.4241825027212924,2.3131536776336343,0.13333333333333333,1.2307692307692308,hybrid
RoutingFree_MoE,소수(素數)란 무엇인가. 그것은 고독처럼 오직 자기 자신으로만 나누어지는,0.7966537475585938,1.101703226523567,1.9291715427569278,0.05263157894736842,1.054054054054054,hybrid
Nomadic_NoDx,Solve the Fibonacci sequence using dynam,0.12526558635481974,0.0,-1.000000082690371e-10,0.0,40.0,equilibrium
Nomadic_NoDx,"The derivative of beauty, mathematically",0.23210721012225122,0.6982120020662599,1.7039783657419139,0.21052631578947367,1.4615384615384615,hybrid
Nomadic_NoDx,Write a Python function that captures th,0.37471326123486504,1.0781929325076172,1.1360931488507968,0.02631578947368421,2.375,equilibrium
Nomadic_NoDx,If consciousness were a recursive algori,0.4739155236631632,0.9746794343590613,1.1942761613356787,0.21052631578947367,1.7727272727272727,equilibrium
Nomadic_NoDx,소수(素數)란 무엇인가. 그것은 고독처럼 오직 자기 자신으로만 나누어지는,0.12662311433290369,1.4439529076749698,0.5086351818547048,0.0,3.142857142857143,equilibrium
Nomadic_NoEnv,Solve the Fibonacci sequence using dynam,0.17525899381240667,0.0,-1.000000082690371e-10,0.0,40.0,equilibrium
Nomadic_NoEnv,"The derivative of beauty, mathematically",0.6263488773732035,1.5362291493048814,1.1522733376090388,0.13157894736842105,2.235294117647059,equilibrium
Nomadic_NoEnv,Write a Python function that captures th,0.5043434383698695,0.7382411529009338,1.5420714321018936,0.10526315789473684,1.8095238095238095,hybrid
Nomadic_NoEnv,If consciousness were a recursive algori,0.11982018781613471,1.098294131687153,1.109483115029241,0.13157894736842105,2.0526315789473686,equilibrium
Nomadic_NoEnv,소수(素數)란 무엇인가. 그것은 고독처럼 오직 자기 자신으로만 나누어지는,0.14754599793814122,1.3081475450970017,0.23317260207386986,0.0,7.333333333333333,equilibrium
Nomadic_NoErr,Solve the Fibonacci sequence using dynam,1.0176220655441284,1.0368220675367832,1.1094957987570178,0.05263157894736842,2.6923076923076925,equilibrium
Nomadic_NoErr,"The derivative of beauty, mathematically",0.5414671003818512,0.8774964386075877,1.4599473841788915,0.15789473684210525,1.52,equilibrium
Nomadic_NoErr,Write a Python function that captures th,0.7346396595239639,1.1800423719435882,1.1904150103997635,0.05263157894736842,2.6,equilibrium
Nomadic_NoErr,If consciousness were a recursive algori,0.6532389322916666,0.5773502688047255,1.2424533244940001,0.0,1.6666666666666667,equilibrium
Nomadic_NoErr,소수(素數)란 무엇인가. 그것은 고독처럼 오직 자기 자신으로만 나누어지는,0.6466121528297663,0.6324555319546189,1.4441386693131946,0.10526315789473684,1.6956521739130435,equilibrium
